mprove50_x,mprove50_y
13,-5.077064980182206e-09
13,-4.1089749121163895e-09
13,-9.613837932982482e-09
13,3.625663300972654e-08
13,1.4014286392625034e-08
13,2.2352339517742106e-08
13,1.4787756218229983e-06
13,-4.357293972592034e-08
13,-5.060148887770114e-08
13,-2.425981403379235e-07
13,1.304374407501871e-07
13,1.1106250202215812e-07
13,3.0419538745378136e-07
3,4.356302368612564e-15
2,1.8689026770150302e-16
1,-2.102486036183474e-15
0,2.663189572493374e-15
1,3.812194446768362e-16
4,-8.902409850099557e-14
5,-3.210031981223167e-14
6,-8.036195146050902e-14
7,-7.284750225824994e-13
8,8.22742520634492e-13
9,1.147671785929318e-12
10,4.075243977256256e-12
11,-1.906229695654457e-11
12,-1.0295968636351199e-11
13,-2.0030416371970683e-11
14,-2.880868624680265e-10
14,6.35081243177577e-11
14,7.228537953960541e-11
14,2.3127864275439315e-10
14,-3.0371135456316537e-10
14,-1.7545177239003904e-10
14,-2.6988274981565386e-10
14,1.352123209829852e-09
14,1.0138318519795329e-10
14,-1.5007127657754848e-10
14,-3.0694279891865842e-09
14,2.0569425584434437e-09
14,2.7929000235383873e-09
14,1.0340523643250406e-08
14,-1.9356101511516414e-08
14,-1.3674427304974022e-08
14,-2.9444897224310365e-08
14,1.9457088916586133e-07
14,5.197331033921193e-08
14,7.765757259068634e-08
14,9.787489280187125e-07
14,-1.7753299346500145e-07
14,-1.9365376607193908e-07
14,-7.710039595764775e-07
14,5.808242171570988e-07
14,4.6117542310864063e-07
3,2.112894860423924e-15
2,-2.519392950549439e-15
1,2.155867845690923e-15
0,1.8600984695675093e-16
1,-1.1911044260501562e-15
4,1.285073891716954e-14
5,1.916423573174072e-12
6,-1.2167279441969002e-13
7,-2.682883012100996e-13
8,-1.7066258332790088e-12
9,3.2789116465629397e-12
10,3.701983269097961e-12
11,1.1077557993668651e-11
12,-1.1070977642818681e-10
13,-3.3810034354883286e-11
14,-5.822132040141601e-11
15,-4.096660259113098e-10
15,2.2790162651967695e-10
15,2.292081453405566e-10
15,6.18255185518511e-10
15,-1.3515766043016992e-09
15,-6.408724295157509e-10
15,-9.327959860582367e-10
15,3.827482674438748e-08
15,7.568528797777008e-10
15,7.216352029488507e-11
15,-3.996329299619859e-09
15,5.9525458215724795e-09
15,7.830259288837748e-09
15,2.6376476439093837e-08
15,-7.657609395005483e-08
15,-4.540247675741185e-08
15,-9.084034939555968e-08
15,1.4678083867073505e-06
15,1.9241397639411512e-07
15,2.695688568276718e-07
15,2.010929956827476e-06
15,-7.213698762758295e-07
15,-7.366690363741839e-07
15,-2.5469567639980245e-06
15,2.577610699538026e-06
3,4.5781068318028615e-15
2,1.33565032494857e-15
1,1.8461313917206184e-16
0,-1.8501454261100562e-15
1,4.9907371799405436e-15
4,1.0862258520369297e-14
5,4.361997892627394e-14
6,7.989837812078635e-13
7,-4.80233714759083e-13
8,-8.984058103962592e-13
9,-4.4062464376162165e-12
10,1.394259445143735e-11
11,1.2135269019731885e-11
12,3.119036101208122e-11
13,-3.1609699617272337e-09
14,-1.1430341869074493e-10
15,-1.73868735615594e-10
16,-8.422747721987143e-10
16,8.545845989008633e-10
16,7.416394835486997e-10
16,1.738130049876e-09
16,-6.771693978944131e-09
16,-2.3499880060829157e-09
16,-3.2009057852431613e-09
16,-3.440373424961504e-08
16,4.079953163249482e-09
16,1.916022669476163e-09
16,-3.5613503075746203e-09
16,1.6133342332341297e-08
16,2.132501046315621e-08
16,6.797406029171376e-08
16,-3.2374165009822106e-07
16,-1.5048281777825685e-07
16,-2.8176726392345865e-07
16,-2.729108548674534e-05
16,7.129739531253453e-07
16,9.360949908147798e-07
16,5.159004323506833e-06
16,-2.9340204672840055e-06
16,-2.7922108315377327e-06
16,-8.626630602340325e-06
3,-1.9204031361533443e-15
2,-5.593106118778942e-16
1,-2.8376996897963733e-15
0,3.871046295441955e-15
1,3.8131870482904333e-16
4,8.9223544904815e-14
5,4.906480699974301e-14
6,1.5128559410520598e-13
7,1.522202463568078e-12
8,-1.9536915438584485e-12
9,-3.0287466346875375e-12
10,-1.2050884042070968e-11
